12:19:13.231; 0; Start of recording
12:20:07.752; 68; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'SAWING'}}}
12:20:09.759; 69; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_CB'}}}
12:20:11.045; 70; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
12:20:12.052; 71; MiniFactory/Right/Factory/MachineStatus/Data; {'CB1': ['RUNNING', 'Line1s']}
12:20:12.053; 72; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
12:20:12.074; 73; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2': ['RUNNING', 'Line1s']}
12:20:12.075; 74; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_CB3': ['BLOCKED', 'Line1s']}
12:20:12.078; 75; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1s']}
12:20:12.080; 76; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['BLOCKED', 'Line1s']}
12:20:12.082; 77; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'INIT'}}}
12:20:12.291; 78; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
12:20:13.336; 79; MiniFactory/Right/Factory/MachineStatus/Data; {'MPS': ['FREE', 'None']}
12:20:13.337; 80; MiniFactory/Right/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
12:20:16.712; 81; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2': ['BLOCKED', 'Line1s']}
12:20:16.713; 82; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['RUNNING', 'Line1s']}
