12:06:35.281; 31; MiniFactory/Left/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'VG1': {'status': 'INIT'}}}
12:06:35.332; 32; MiniFactory/Left/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': None}}}
12:06:35.332; 33; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_ended': {'name': 'Init', 'at': 'END'}}
12:06:35.332; 34; MiniFactory/Left/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': 'END'}}}
12:06:35.332; 35; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_stopped': 'Init'}
12:06:35.380; 36; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line1', 'at': 'GR1'}}
12:06:35.382; 37; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line2s', 'at': 'GR1'}}
12:06:35.382; 38; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line3', 'at': 'GR1'}}
12:06:35.382; 39; MiniFactory/Left/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line4w', 'at': 'WH_RETRIEVE'}}
12:06:35.382; 40; MiniFactory/Left/Factory/MachineStatus/Data; {'GR1': ['RUNNING', 'Line1']}
12:06:35.382; 41; MiniFactory/Left/Factory/MachineStatus/Data; {'WH': ['BLOCKED', 'Line4w']}
12:06:35.382; 42; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line4w']}
12:06:35.382; 43; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['RUNNING', 'Line4w']}
12:06:35.382; 44; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}}}
12:06:35.382; 45; MiniFactory/Left/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
12:06:35.382; 46; MiniFactory/Left/Factory/LineStatus/Data; {'Line3': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
12:06:35.382; 47; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}}}
12:06:35.382; 48; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['RUNNING', 'Line4w']}
12:06:35.382; 49; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_STORE': ['BLOCKED', 'Line4w']}
12:06:35.394; 50; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['BLOCKED', 'Line4w']}
12:06:35.395; 51; MiniFactory/Left/Factory/MachineStatus/Data; {'MPS': ['RUNNING', 'Line1']}
12:06:35.395; 52; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
12:06:35.448; 53; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
12:06:35.565; 54; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
12:06:35.617; 55; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'INIT'}}}
12:06:35.617; 56; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:06:35.672; 57; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:39.604; 58; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:44.165; 59; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
12:06:45.044; 60; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
12:06:45.092; 61; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:06:46.782; 62; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:50.971; 63; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'SETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:51.477; 64; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}, 'MPS': {'status': 'INIT'}}}
12:06:52.413; 65; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}, 'MPS': {'status': 'INIT'}}}
12:06:52.642; 66; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
12:06:54.761; 67; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'CB_BWD'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:55.432; 68; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['BLOCKED', 'Line4w']}
12:06:55.492; 69; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['RUNNING', 'Line4w']}
12:06:55.492; 70; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:06:55.496; 71; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'GET_PRODUCT'}}}
12:06:56.930; 72; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'GRIPPING'}}}
12:06:59.226; 73; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:07:00.418; 74; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}, 'MPS': {'status': 'INIT'}}}
12:07:01.357; 75; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
12:07:01.418; 76; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
12:07:01.418; 77; MiniFactory/Left/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'OVEN'}}}
12:07:02.996; 78; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'TO_DESTINATION'}}}
12:07:04.669; 79; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG1_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'RELEASE'}}}
12:07:04.729; 80; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4': ['BLOCKED', 'Line4w']}
12:07:04.730; 81; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_WH': ['BLOCKED', 'Line4w']}
12:07:04.731; 82; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['RUNNING', 'Line4w']}
12:07:04.732; 83; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'VG1'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'INIT'}}}
12:07:04.732; 84; MiniFactory/Left/Factory/MachineStatus/Data; {'WH': ['FREE', 'None']}
12:07:04.732; 85; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_STORE': ['FREE', 'None']}
12:07:04.732; 86; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['FREE', 'None']}
12:07:04.737; 87; MiniFactory/Left/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
