11:57:21.332; 0; Start of recording
11:58:10.885; 31; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'SAWING'}}}
11:58:12.889; 32; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_CB'}}}
11:58:14.012; 33; MiniFactory/Left/Factory/MachineStatus/Data; {'CB1': ['RUNNING', 'Line1s']}
11:58:14.072; 34; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
11:58:14.073; 35; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2': ['RUNNING', 'Line1s']}
11:58:14.074; 36; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_CB3': ['BLOCKED', 'Line1s']}
11:58:14.075; 37; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1s']}
11:58:14.075; 38; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['BLOCKED', 'Line1s']}
11:58:14.076; 39; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'INIT'}}}
11:58:14.250; 40; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
11:58:17.826; 41; MiniFactory/Left/Factory/MachineStatus/Data; {'MPS': ['FREE', 'None']}
11:58:17.885; 42; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
11:58:20.973; 43; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'GET_PRODUCT'}}}
11:58:21.191; 44; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2': ['BLOCKED', 'Line1s']}
11:58:21.239; 45; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['RUNNING', 'Line1s']}
11:58:21.239; 46; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GET_PRODUCT'}}}
11:58:23.135; 47; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GRIPPING'}}}
11:58:26.190; 48; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'TO_MOVING_POS'}}}
11:58:26.254; 49; MiniFactory/Left/Factory/MachineStatus/Data; {'CB1': ['FREE', 'None']}
11:58:26.312; 50; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'MOVING'}}}
11:58:34.388; 51; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_DESTINATION'}}}
11:58:36.215; 52; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'GR2'}, 'GR2': {'status': 'RELEASE'}}}
11:58:36.617; 53; MiniFactory/Left/Factory/MachineStatus/Data; {'PM': ['RUNNING', 'Line1s']}
11:58:36.674; 54; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_MOVING_POS'}}}
11:58:36.675; 55; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1s']}
11:58:36.676; 56; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['WAITING', 'Line1s']}
11:58:36.676; 57; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_MOVING_POS'}, 'PM': {'status': None}, 'CB2': {'status': 'RUN'}}}
11:58:38.762; 58; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'MOVING'}, 'PM': {'status': None}, 'CB2': {'status': 'RUN'}}}
11:58:40.205; 59; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': None}, 'CB2': {'status': 'RUN'}}}
11:58:40.409; 60; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'START'}, 'CB2': {'status': 'RUN'}}}
11:58:40.464; 61; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_PUNCH'}, 'CB2': {'status': 'RUN'}}}
11:58:44.693; 62; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'PUNCHING'}, 'CB2': {'status': 'RUN'}}}
11:58:45.414; 63; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'PM'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_OUT'}, 'CB2': {'status': 'RUN'}}}
11:58:48.166; 64; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'PM', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'CB_TO_OUT'}, 'CB2': {'status': 'RUN'}}}
11:58:53.111; 65; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['RUNNING', 'Line1s']}
11:58:53.155; 66; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'TO_DESTINATION'}, 'PM': {'status': 'END'}, 'CB2': {'status': 'END'}}}
11:58:53.155; 67; MiniFactory/Left/Factory/MachineStatus/Data; {'PM': ['FREE', 'None']}
11:58:53.155; 68; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'GET_PRODUCT'}, 'CB2': {'status': 'END'}}}
11:58:54.938; 69; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'GRIPPING'}, 'CB2': {'status': 'END'}}}
11:58:57.357; 70; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'WARNING', 'WARNING': 'GetProductError: GR2 :Product still at Sensor, try nr.: 1'}, 'CB2': {'status': 'END'}}}
11:59:01.388; 71; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'CB2'}, 'GR2': {'status': 'GRIPPING'}, 'CB2': {'status': 'END'}}}
11:59:03.816; 72; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'GRIPPING'}, 'CB2': {'status': 'END'}}}
11:59:03.869; 73; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_MOVING_POS'}}}
11:59:03.870; 74; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'MOVING'}}}
11:59:08.369; 75; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_DESTINATION'}}}
11:59:10.154; 76; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'GR2_PM_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'RELEASE'}}}
11:59:10.558; 77; MiniFactory/Left/Factory/MachineStatus/Data; {'CB3': ['RUNNING', 'Line1s']}
11:59:10.633; 78; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'INIT'}}}
11:59:10.633; 79; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['RUNNING', 'Line1s']}
11:59:10.633; 80; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_STORE': ['BLOCKED', 'Line1s']}
11:59:10.633; 81; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['BLOCKED', 'Line1s']}
11:59:10.633; 82; MiniFactory/Left/Factory/MachineStatus/Data; {'WH': ['RUNNING', 'Line1s']}
11:59:10.633; 83; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line1s']}
11:59:10.633; 84; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['BLOCKED', 'Line1s']}
11:59:10.633; 85; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
11:59:10.706; 86; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'INIT'}}}
11:59:10.851; 87; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:14.323; 88; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4': ['BLOCKED', 'Line1s']}
11:59:14.372; 89; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_WH': ['RUNNING', 'Line1s']}
11:59:14.373; 90; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['BLOCKED', 'Line1s']}
11:59:14.374; 91; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB4_TO_WH', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:14.376; 92; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB4_TO_WH', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}, 'CB4': {'status': None}}}
11:59:14.376; 93; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB4_TO_WH', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}, 'CB4': {'status': 'RUN'}}}
11:59:16.120; 94; MiniFactory/Left/Factory/MachineStatus/Data; {'CB3': ['FREE', 'None']}
11:59:16.176; 95; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'CB4_TO_WH', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}, 'CB4': {'status': 'RUN'}}}
11:59:16.234; 96; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['BLOCKED', 'Line1s']}
11:59:16.286; 97; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_STORE': ['RUNNING', 'Line1s']}
11:59:16.287; 98; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}, 'CB4': {'status': 'END'}}}
11:59:16.288; 99; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'GET_PRODUCT'}, 'CB4': {'status': 'END'}}}
11:59:17.117; 100; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'GRIPPING'}, 'CB4': {'status': 'END'}}}
11:59:17.779; 101; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'GRIPPING'}, 'CB4': {'status': 'END'}}}
11:59:18.416; 102; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'GRIPPING'}, 'CB4': {'status': 'END'}}}
11:59:18.467; 103; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4': ['FREE', 'None']}
11:59:18.467; 104; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_WH': ['FREE', 'None']}
11:59:18.467; 105; MiniFactory/Left/Factory/MachineStatus/Data; {'CB4_TO_CB5': ['FREE', 'None']}
11:59:18.467; 106; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:22.512; 107; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2': ['FREE', 'None']}
11:59:22.584; 108; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_CB3': ['FREE', 'None']}
11:59:22.585; 109; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['FREE', 'None']}
11:59:22.586; 110; MiniFactory/Left/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['FREE', 'None']}
11:59:22.586; 111; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:25.002; 112; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:31.917; 113; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'SETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:35.730; 114; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'CB_BWD'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:36.432; 115; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
11:59:37.565; 116; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'VG1_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'RELEASE'}}}
11:59:37.620; 117; MiniFactory/Left/Factory/MachineStatus/Data; {'WH': ['BLOCKED', 'Line1s']}
11:59:37.622; 118; MiniFactory/Left/Factory/MachineStatus/Data; {'WH_STORE': ['RUNNING', 'Line1s']}
11:59:37.624; 119; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'INIT'}}}
11:59:37.625; 120; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'INIT'}}}
11:59:37.674; 121; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'CB_FWD'}, 'VG1': {'status': 'INIT'}}}
11:59:38.287; 122; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'INIT'}}}
11:59:42.099; 123; MiniFactory/Left/Factory/LineStatus/Data; {'Line1s': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'INIT'}}}
11:59:44.019; 124; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1': ['FREE', 'None']}
11:59:44.066; 125; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_STORE': ['FREE', 'None']}
11:59:44.066; 126; MiniFactory/Left/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['FREE', 'None']}
