14:00:15.252; 31; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'VG1': {'status': 'INIT'}, 'VG2': {'status': 'INIT'}}}
14:00:15.302; 32; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'INIT', 'product_at': None}, 'VG2': {'status': 'INIT'}}}
14:00:15.302; 33; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': None}}}
14:00:15.302; 34; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_ended': {'name': 'Init', 'at': 'END'}}
14:00:15.302; 35; MiniFactory/Right/Factory/LineStatus/Data; {'Init': {'self': {'state': 'END', 'product_at': 'END'}}}
14:00:15.352; 36; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_stopped': 'Init'}
14:00:15.352; 37; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line1', 'at': 'GR1'}}
14:00:15.352; 38; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line2s', 'at': 'GR1'}}
14:00:15.352; 39; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line3', 'at': 'GR1'}}
14:00:15.352; 40; MiniFactory/Right/Factory/FactoryStatus/Data; {'line_started': {'name': 'Line4w', 'at': 'WH_RETRIEVE'}}
14:00:15.352; 41; MiniFactory/Right/Factory/MachineStatus/Data; {'GR1': ['RUNNING', 'Line1']}
14:00:15.352; 42; MiniFactory/Right/Factory/MachineStatus/Data; {'WH': ['BLOCKED', 'Line4w']}
14:00:15.352; 43; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_STORE': ['BLOCKED', 'Line4w']}
14:00:15.352; 44; MiniFactory/Right/Factory/MachineStatus/Data; {'WH_RETRIEVE': ['RUNNING', 'Line4w']}
14:00:15.352; 45; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}}}
14:00:15.352; 46; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
14:00:15.364; 47; MiniFactory/Right/Factory/LineStatus/Data; {'Line3': {'self': {'state': 'INIT', 'product_at': None}, 'waiting_for': 'GR1'}}
14:00:15.402; 48; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}}}
14:00:15.402; 49; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1': ['RUNNING', 'Line4w']}
14:00:15.402; 50; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_STORE': ['BLOCKED', 'Line4w']}
14:00:15.402; 51; MiniFactory/Right/Factory/MachineStatus/Data; {'VG1_RETRIEVE': ['BLOCKED', 'Line4w']}
14:00:15.402; 52; MiniFactory/Right/Factory/MachineStatus/Data; {'MPS': ['RUNNING', 'Line1']}
14:00:15.402; 53; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
14:00:15.402; 54; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': None}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
14:00:15.570; 55; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'INIT'}}}
14:00:15.620; 56; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'INIT'}}}
14:00:15.620; 57; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
14:00:15.669; 58; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_RACK'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:19.989; 59; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'WH'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
14:00:24.229; 60; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
14:00:24.992; 61; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}, 'MPS': {'status': 'INIT'}}}
14:00:25.047; 62; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}, 'MPS': {'status': 'INIT'}}}
